#data counter step time
0 1 0 0
1 2 1 0
2 3 2 0
3 4 3 0
3 5 4 0
3 6 5 0
4 7 6 0
4 8 7 0
5 9 8 0
6 10 9 0
7 11 10 0
8 12 11 0
9 13 12 0
10 14 13 0
11 15 14 0
12 16 15 0
13 17 16 0
14 18 17 0
15 19 18 0
15 20 19 0
16 21 20 0
17 22 21 0
18 23 22 0
19 24 23 0
19 25 24 0
20 26 25 0
21 27 26 0
22 28 27 0
23 29 28 0
23 30 29 0
24 31 30 0
25 32 31 0
26 33 32 0
27 34 33 0
28 35 34 0
29 36 35 0
30 37 36 0
30 38 37 0
31 39 38 0
32 40 39 0
33 41 40 0
34 42 41 0
35 43 42 0
36 44 43 0
37 45 44 0
38 46 45 0
38 47 46 0
39 48 47 0
40 49 48 0
41 50 49 0
42 51 50 0
43 52 51 0
44 53 52 0
45 54 53 0
46 55 54 0
47 56 55 0
48 57 56 0
49 58 57 0
49 59 58 0
50 60 59 0
51 61 60 0
52 62 61 0
53 63 62 0
54 64 63 0
55 65 64 0
56 66 65 0
57 67 66 0
58 68 67 0
59 69 68 0
60 70 69 0
61 71 70 0
62 72 71 0
63 73 72 0
64 74 73 0
64 75 74 0
65 76 75 0
66 77 76 0
67 78 77 0
68 79 78 0
69 80 79 0
70 81 80 0
71 82 81 0
72 83 82 0
73 84 83 0
74 85 84 0
75 86 85 0
76 87 86 0
77 88 87 0
78 89 88 0
79 90 89 0
80 91 90 0
81 92 91 0
82 93 92 0
83 94 93 0
84 95 94 0
85 96 95 0
86 97 96 0
87 98 97 0
88 99 98 0
89 100 99 0
90 101 100 0
