#data counter step time
0 1 0 0
0 2 1 0
1 3 2 0
2 4 3 0
2 5 4 0
3 6 5 0
3 7 6 0
3 8 7 0
3 9 8 0
3 10 9 0
4 11 10 0
4 12 11 0
4 13 12 0
4 14 13 0
5 15 14 0
5 16 15 0
5 17 16 0
5 18 17 0
5 19 18 0
6 20 19 0
6 21 20 0
6 22 21 0
6 23 22 0
7 24 23 0
8 25 24 0
8 26 25 0
8 27 26 0
9 28 27 0
9 29 28 0
9 30 29 0
9 31 30 0
9 32 31 0
9 33 32 0
10 34 33 0
10 35 34 0
10 36 35 0
10 37 36 0
11 38 37 0
11 39 38 0
11 40 39 0
12 41 40 0
12 42 41 0
12 43 42 0
13 44 43 0
14 45 44 0
15 46 45 0
15 47 46 0
15 48 47 0
16 49 48 0
17 50 49 0
17 51 50 0
17 52 51 0
17 53 52 0
17 54 53 0
18 55 54 0
18 56 55 0
18 57 56 0
18 58 57 0
18 59 58 0
18 60 59 0
19 61 60 0
19 62 61 0
19 63 62 0
19 64 63 0
19 65 64 0
19 66 65 0
19 67 66 0
20 68 67 0
20 69 68 0
20 70 69 0
20 71 70 0
21 72 71 0
22 73 72 0
22 74 73 0
22 75 74 0
22 76 75 0
23 77 76 0
23 78 77 0
24 79 78 0
24 80 79 0
24 81 80 0
24 82 81 0
24 83 82 0
24 84 83 0
24 85 84 0
25 86 85 0
25 87 86 0
25 88 87 0
25 89 88 0
25 90 89 0
25 91 90 0
25 92 91 0
25 93 92 0
25 94 93 0
25 95 94 0
26 96 95 0
27 97 96 0
27 98 97 0
28 99 98 0
28 100 99 0
28 101 100 0
